A	AH
SEDATING	S AH D EY T IH NG
SEDATION	S AH D EY SH AH N
SEDATIVE	S EH D AH T IH V
SEDENTARY	S EH D AH N T EH R IY
SEDGE	S EH JH
SEDIMENT	S EH D AH M AH N T
SEDIMENTARY	S EH D AH M EH N T ER IY
SEDIMENTATION	S EH D AH M AH N T EY SH AH N
SEDIMENTS	S EH D AH M AH N T S
SEDITION	S IH D IH SH AH N
SEDITIOUS	S IH D IH SH AH S
SEDUCE	S IH D UW S
SEDUCED	S IH D UW S T
SEDUCER	S IH D UW S ER
SEDUCING	S IH D UW S IH NG
SEDUCTION	S IH D AH K SH AH N
SEDUCTIVE	S IH D AH K T IH V
SEDUCTIVELY	S AH D AH K T IH V L IY
SEE	S IY
SEED	S IY D
SEED'S	S IY D Z
SEEDED	S IY D AH D
SEEDING	S IY D IH NG
SEEDLING	S IY D L IH NG
SEEDLINGS	S IY D L IH NG Z
SEEDPOD	S IY D P AA D
SEEDS	S IY D Z
SEEDY	S IY D IY
SEEING	S IY IH NG
SEEK	S IY K
SEEKER	S IY K ER
SEEKER'S	S IY K ER Z
SEEKERS	S IY K ER Z
SEEKING	S IY K IH NG
SEEKS	S IY K S
SEEM	S IY M
SEEMED	S IY M D
SEEMING	S IY M IH NG
SEEMINGLY	S IY M IH NG L IY
SEEMS	S IY M Z
SEEN	S IY N
SEEP	S IY P
SEEPAGE	S IY P IH JH
SEEPED	S IY P T
SEEPING	S IY P IH NG
SEEPS	S IY P S
SEER	S IY R
SEERS	S IY R Z
SEES	S IY Z
SEESAW	S IY S AO
SEESAWED	S IY S AO D
SEESAWING	S IY S AO IH NG
SEETHE	S IY DH
SEETHING	S IY TH IH NG
SEGMENT	S EH G M AH N T
SEGMENT'S	S EH G M AH N T S
SEGMENTATION	S EH G M AH N T EY SH AH N
SEGMENTED	S EH G M EH N T IH D
SEGMENTS	S EH G M AH N T S
SEGREGATE	S EH G R AH G EY T
SEGREGATED	S EH G R AH G EY T IH D
SEGREGATING	S EH G R IH G EY T IH NG
SEGREGATION	S EH G R AH G EY SH AH N
SEGREGATIONIST	S EH G R AH G EY SH AH N IH S T
SEGREGATIONISTS	S EH G R AH G EY SH AH N IH S T S
SEGUE	S EH G
SEINE	S EY N IY
SEISMIC	S AY Z M IH K
SEISMOLOGICAL	S AY Z M AH L AO JH AH K AH L
SEISMOLOGIST	S AY Z M AA L AH JH AH S T
SEISMOLOGISTS	S AY Z M AA L AH JH AH S T S
SEISMOLOGY	S AY Z M AA L AH JH IY
SEIZE	S IY Z
SEIZED	S IY Z D
SEIZES	S IY Z IH Z
SEIZING	S IY Z IH NG
SEIZURE	S IY ZH ER
SEIZURES	S IY ZH ER Z
SELDOM	S EH L D AH M
SELECT	S AH L EH K T
SELECTED	S AH L EH K T AH D
SELECTING	S AH L EH K T IH NG
SELECTION	S AH L EH K SH AH N
SELECTIONS	S AH L EH K SH AH N Z
SELECTIVE	S AH L EH K T IH V
SELECTIVELY	S AH L EH K T IH V L IY
SELECTIVITY	S IH L EH K T IH V AH T IY
SELECTS	S AH L EH K T S
SELENITE	S EH L IH N AY T
SELENIUM	S AH L IY N IY AH M
SELF	S EH L F
SELF'S	S EH L F S
SELF-AGGRANDIZEMENT	S EH L F AE G R AH N D AY Z M AH N T
SELF-AGGRANDIZING	S EH L F AH G R AE N D AY Z IH NG
SELF-CONFIDENCE	S EH L F K AA N F AH D AH N S
SELF-CONFIDENT	S EH L F K AA N F AH D AH N T
SELF-CONGRATULATION	S EH L F K AH N G R AE CH AH L EY SH AH N
SELF-CONSISTENT	S EH L F K AH N S IH S T AH N T
SELF-CONTAINED	S EH L F K AH N T EY N D
SELF-CONTROL	S EH L F K AH N T R OW L
SELF-DECEIVING	S EH L F D IY S IY V IH NG
SELF-DECEPTION	S EH L F D AH S EH P SH AH N
SELF-DELIVERANCE	S EH L F D IH L IH V ER AH N S
SELF-DEPRECATING	S EH L F D EH P R AH K EY T IH NG
SELF-DETERMINATION	S EH L F D IH T ER M AH N EY SH AH N
SELF-DORMANT	S EH L F D AO R M AH N T
SELF-ENERGIZING	S EH L F EH N ER JH AY Z IH NG
SELF-ENRICHMENT	S EH L F AH N R IH CH M AH N T
SELF-FERTILIZING	S EH L F F ER T AH L AY Z IH NG
SELF-FRUITFUL	S EH L F F R UW T F AH L
SELF-GOVERN	S EH L F G AH V ER N
SELF-GOVERNING	S EH L F G AH V ER N IH NG
SELF-GOVERNMENT	S EH L F G AH V ER N M AH N T
SELF-HELP	S EH L F HH EH L P
SELF-IMPROVEMENT	S EH L F IH M P R UW V M AH N T
SELF-PERPETUATE	S EH L F P ER P EH CH UW EY T
SELF-PERPETUATING	S EH L F P ER P EH CH UW EY T IH NG
SELF-PERPETUATION	S EH L F P ER P EH CH UW EY SH AH N
SELF-POLLINATE	S EH L F P AA L AH N EY T
SELF-PORTRAIT	S EH L F P AO R T R AH T
SELF-PROFESSED	S EH L F P R AH F EH S T
SELF-SUBSISTENCE	S EH L F S AH B S IH S T AH N S
SELF-SUFFICIENCY	S EH L F S AH F IH SH AH N S IY
SELF-SUFFICIENT	S EH L F S AH F IH SH AH N T
SELF-TORMENT	S EH L F T AO R M EH N T
SELF-TORMENTS	S EH L F T AO R M EH N T S
SELFISH	S EH L F IH SH
SELFISHNESS	S EH L F IH SH N AH S
SELFLESS	S EH L F L AH S
SELFLESSNESS	S EH L F L AH S N IH S
SELFS	S EH L F S
SELL	S EH L
SELLER	S EH L ER
SELLER'S	S EH L ER Z
SELLERS	S EH L ER Z
SELLING	S EH L IH NG
SELLOUT	S EH L AW T
SELLOUTS	S EH L AW T S
SELLS	S EH L Z
SELTZER	S EH L T S ER
SELVAGE	S EH L V IH JH
SELVES	S EH L V Z
SEMANTIC	S IH M AE N T IH K
SEMANTICS	S IH M AE N T IH K S
SEMBLANCE	S EH M B L AH N S
SEMEN	S IY M AH N
SEMESTER	S AH M EH S T ER
SEMESTERS	S AH M EH S T ER Z
SEMI	S EH M IY
SEMI-COLON	S EH M IY K OW L AH N
SEMI-HEIGHT	S EH M IY HH AY T
SEMI-HEIGHTS	S EH M IY HH AY T S
SEMIANNUAL	S EH M IY AE N Y AH W AH L
SEMIANNUALLY	S EH M IY AE N UW AH L IY
SEMIAUTOMATIC	S EH M IY AO T AH M AE T IH K
SEMICIRCULAR	S EH M IY S ER K Y AH L ER
SEMICONDUCTOR	S EH M IY K AH N D AH K T ER
SEMICONDUCTOR'S	S EH M IY K AH N D AH K T ER Z
SEMICONDUCTORS	S EH M IY K AH N D AH K T ER Z
SEMIDRYING	S EH M IY D R AY IH NG
SEMIFINAL	S EH M IY F AY N AH L
SEMIFINALIST	S EH M IY F AY N AH L IH S T
SEMIFINALISTS	S EH M IY F AY N AH L IH S T S
SEMIFINALS	S EH M IY F AY N AH L Z
SEMINAL	S EH M AH N AH L
SEMINAR	S EH M AH N AA R
SEMINARIAN	S EH M AH N EH R IY AH N
SEMINARIANS	S EH M AH N EH R IY AH N Z
SEMINARIES	S EH M AH N EH R IY Z
SEMINARS	S EH M AH N AA R Z
SEMINARY	S EH M AH N EH R IY
SEMIOTIC	S EH M IY AA T IH K
SEMIOTICS	S EH M IY AA T IH K S
SEMIPERMANENT	S EH M IY P ER M AH N AH N T
SEMIPRECIOUS	S EH M IY P R EH SH AH S
SEMIS	S EH M AY Z
SEMITIC	S AH M IH T IH K
SEMITRAILER	S EH M IY T R EY L ER
SEMITROPICAL	S EH M IY T R AA P IH K AH L
SEMOLINA	S EH M AH L IY N AH
SEN	S EH N
SENATE	S EH N AH T
SENATE'S	S EH N IH T S
SENATOR	S EH N AH T ER
SENATOR'S	S EH N AH T ER Z
SENATORIAL	S EH N AH T AO R IY AH L
SENATORS	S EH N AH T ER Z
SEND	S EH N D
SENDER	S EH N D ER
SENDERS	S EH N D ER Z
SENDING	S EH N D IH NG
SENDS	S EH N D Z
SENESCENCE	S AH N EH S AH N S
SENILE	S IY N AY L
SENILITY	S AH N IH L AH T IY
SENIOR	S IY N Y ER
SENIORITY	S IY N Y AO R IH T IY
SENIORS	S IY N Y ER Z
SENNA	S EH N AH
SENOR	S IY N Y AO R
SENORA	S IY N Y AO R AH
SENS	S EH N Z
SENSATION	S EH N S EY SH AH N
SENSATIONAL	S EH N S EY SH AH N AH L
SENSATIONALISM	S EH N S EY SH AH N AH L IH Z AH M
SENSATIONALIST	S EH N S EY SH AH N AH L IH S T
SENSATIONALIZE	S EH N S EY SH AH N AH L AY Z
SENSATIONALIZED	S EH N S EY SH AH N AH L AY Z D
SENSATIONALIZES	S EH N S EY SH AH N AH L AY Z IH Z
SENSATIONALIZING	S EH N S EY SH AH N AH L AY Z IH NG
SENSATIONS	S EH N S EY SH AH N Z
SENSE	S EH N S
SENSE-DATA	S EH N S D EY T AH
SENSE-DATUM	S EH N S D AE T AH M
SENSED	S EH N S T
SENSELESS	S EH N S L AH S
SENSES	S EH N S IH Z
SENSIBILITIES	S EH N S IH B IH L IH T IY Z
SENSIBILITY	S EH N S IH B IH L IH T IY
SENSIBLE	S EH N S AH B AH L
SENSIBLY	S EH N S AH B L IY
SENSING	S EH N S IH NG
SENSITIVE	S EH N S AH T IH V
SENSITIVELY	S EH N S IH T IH V L IY
SENSITIVENESS	S EH N S AH T IH V N AH S
SENSITIVITIES	S EH N S IH T IH V IH T IY Z
SENSITIVITY	S EH N S IH T IH V IH T IY
SENSITIZE	S EH N S AH T AY Z
SENSITIZED	S EH N S AH T AY Z D
SENSOR	S EH N S ER
SENSOR'S	S EH N S ER Z
SENSORS	S EH N S ER Z
SENSORY	S EH N S ER IY
SENSUAL	S EH N SH AH W AH L
SENSUALITY	S EH N SH UW AE L AH T IY
SENSUOUS	S EH N SH AH W AH S
SENT	S EH N T
SENTENCE	S EH N T AH N S
SENTENCED	S EH N T AH N S T
SENTENCES	S EH N T AH N S AH Z
SENTENCING	S EH N T AH N S IH NG
SENTIMENT	S EH N T AH M AH N T
SENTIMENTAL	S EH N T AH M EH N T AH L
SENTIMENTALITY	S EH N T AH M EH N T AE L IH T IY
SENTIMENTS	S EH N T AH M AH N T S
SENTINEL	S EH N T AH N AH L
SENTINELS	S EH N T AH N AH L Z
SENTRIES	S EH N T R IY Z
SENTRY	S EH N T R IY
SEPARATE	S EH P ER EY T
SEPARATED	S EH P ER EY T AH D
SEPARATELY	S EH P ER AH T L IY
SEPARATENESS	S EH P ER AH T N AH S
SEPARATES	S EH P ER EY T S
SEPARATING	S EH P ER EY T IH NG
SEPARATION	S EH P ER EY SH AH N
SEPARATIONS	S EH P ER EY SH AH N Z
SEPARATISM	S EH P ER AH T IH Z AH M
SEPARATIST	S EH P ER AH T IH S T
SEPARATISTS	S EH P ER AH T IH S T S
SEPIA	S IY P IY AH
SEPSIS	S EH P S IH S
SEPT	S EH P T
SEPTA	S EH P T AH
SEPTIC	S EH P T IH K
SEPTUAGENARIAN	S EH P CH UW AH JH AH N EH R IY AH N
SEQUEL	S IY K W AH L
SEQUELS	S IY K W AH L Z
SEQUENCE	S IY K W AH N S
SEQUENCES	S IY K W AH N S AH Z
SEQUENCING	S IY K W AH N S IH NG
SEQUENT	S IY K W AH N T
SEQUENTIAL	S AH K W EH N CH AH L
SEQUENTIALLY	S AH K W EH N CH AH L IY
SEQUESTER	S IH K W EH S T ER
SEQUESTERED	S IH K W EH S T ER D
SEQUESTERING	S IH K W EH S T ER IH NG
SEQUESTERS	S IH K W EH S T ER Z
SEQUESTRATION	S EH K W AH S T R EY SH AH N
SEQUIN	S IY K W AH N
SEQUINED	S IY K W AH N D
SEQUINS	S IY K W AH N Z
SEQUITUR	S EH K W IH T ER
SEQUOIA	S IH K W OY AH
SEQUOIAS	S IH K W OY AH Z
SERE	S IH R
SERENADE	S EH R AH N EY D
SERENADED	S EH R AH N EY D IH D
SERENADING	S EH R AH N EY D IH NG
SERENDIPITOUS	S EH R AH N D IH P IH T AH S
SERENDIPITY	S EH R AH N D IH P IH T IY
SERENE	S ER IY N
SERENELY	S ER IY N AH L IY
SERENITY	S ER EH N AH T IY
SERES	S IY R Z
SERF	S ER F
SERFS	S ER F S
SERGE	S ER JH
SERGEANT	S AA R JH AH N T
SERGEANTS	S AA R JH AH N T S
SERIAL	S IH R IY AH L
SERIALIZE	S IH R IY AH L AY Z
SERIALIZED	S IH R IY AH L AY Z D
SERIALS	S IH R IY AH L Z
SERIES	S IH R IY Z
SERIOUS	S IH R IY AH S
SERIOUSLY	S IH R IY AH S L IY
SERIOUSNESS	S IH R IY AH S N AH S
SERMON	S ER M AH N
SERMONS	S ER M AH N Z
SEROLOGICAL	S EH R AH L AO JH IH K AH L
SEROLOGY	S EH R AA L AH JH IY
SERPENT	S ER P AH N T
SERPENT'S	S ER P AH N T S
SERPENTINE	S ER P AH N T AY N
SERPENTS	S ER P AH N T S
SERRATE	S EH R EY T
SERRATED	S EH R EY T IH D
SERUM	S IH R AH M
SERVANT	S ER V AH N T
SERVANTS	S ER V AH N T S
SERVE	S ER V
SERVED	S ER V D
SERVER	S ER V ER
SERVERS	S ER V ER Z
SERVES	S ER V Z
SERVICE	S ER V AH S
SERVICE'S	S ER V IH S IH Z
SERVICEABLE	S ER V AH S AH B AH L
SERVICED	S ER V IH S T
SERVICEMAN	S ER V AH S M AE N
SERVICEMEN	S ER V AH S M EH N
SERVICER	S ER V IH S ER
SERVICES	S ER V AH S AH Z
SERVICING	S ER V IH S IH NG
SERVILE	S ER V AH L
SERVING	S ER V IH NG
SERVINGS	S ER V IH NG Z
SERVITUDE	S ER V AH T UW D
SERVO	S ER V OW
SESAME	S EH S AH M IY
SESSION	S EH SH AH N
SESSION'S	S EH SH AH N Z
SESSIONS	S EH SH AH N Z
SET	S EH T
SETBACK	S EH T B AE K
SETBACKS	S EH T B AE K S
SETS	S EH T S
SETTER	S EH T ER
SETTERS	S EH T ER Z
SETTING	S EH T IH NG
SETTINGS	S EH T IH NG Z
SETTLE	S EH T AH L
SETTLED	S EH T AH L D
SETTLEMENT	S EH T AH L M AH N T
SETTLEMENT'S	S EH T AH L M AH N T S
SETTLEMENTS	S EH T AH L M AH N T S
SETTLER	S EH T AH L ER
SETTLERS	S EH T L ER Z
SETTLES	S EH T AH L Z
SETTLING	S EH T AH L IH NG
SETUP	S EH T AH P
SETUPS	S EH T AH P S
SEVEN	S EH V AH N
SEVEN'S	S EH V AH N Z
SEVENFOLD	S EH V AH N F OW L D
SEVENS	S EH V AH N Z
SEVENTEEN	S EH V AH N T IY N
SEVENTEENS	S EH V AH N T IY N Z
SEVENTEENTH	S EH V AH N T IY N TH
SEVENTH	S EH V AH N TH
SEVENTHS	S EH V AH N TH S
SEVENTIES	S EH V AH N T IY Z
SEVENTIETH	S EH V AH N T IY IH TH
SEVENTY	S EH V AH N T IY
SEVENTY'S	S EH V AH N T IY Z
SEVER	S EH V ER
SEVERAL	S EH V R AH L
SEVERALLY	S EH V R AH L IY
SEVERANCE	S EH V ER AH N S
SEVERE	S AH V IH R
SEVERED	S EH V ER D
SEVERELY	S AH V IH R L IY
SEVERER	S EH V IH R ER
SEVEREST	S AH V IH R AH S T
SEVERING	S EH V ER IH NG
SEVERITY	S IH V EH R IH T IY
SEVERS	S EH V ER Z
SEW	S OW
SEWAGE	S UW AH JH
SEWED	S OW D
SEWER	S UW ER
SEWERAGE	S UW ER IH JH
SEWERS	S UW ER Z
SEWING	S OW IH NG
SEWN	S OW N
SEX	S EH K S
SEXED	S EH K S T
SEXES	S EH K S AH Z
SEXIER	S EH K S IY ER
SEXIEST	S EH K S IY AH S T
SEXINESS	S EH K S IY N AH S
SEXISM	S EH K S IH Z AH M
SEXIST	S EH K S IH S T
SEXLESS	S EH K S L IH S
SEXTET	S EH K S T EH T
SEXTON	S EH K S T AH N
SEXTUPLET	S EH K S T AH P L EH T
SEXTUPLETS	S EH K S T AH P L EH T S
SEXUAL	S EH K SH UW AH L
SEXUALITY	S EH K SH UW AE L AH T IY
SEXUALLY	S EH K SH UW AH L IY
SEXY	S EH K S IY
SHABBY	SH AE B IY
SHACK	SH AE K
SHACKLE	SH AE K AH L
SHACKLED	SH AE K AH L D
SHACKLES	SH AE K AH L Z
SHACKS	SH AE K S
SHAD	SH AE D
SHAD'S	SH AE D Z
SHADE	SH EY D
SHADED	SH EY D IH D
SHADER	SH EY D ER
SHADES	SH EY D Z
SHADING	SH EY D IH NG
SHADINGS	SH EY D IH NG Z
SHADOW	SH AE D OW
SHADOWED	SH AE D OW D
SHADOWING	SH AE D OW IH NG
SHADOWS	SH AE D OW Z
SHADOWY	SH AE D OW IY
SHADY	SH EY D IY
SHAFT	SH AE F T
SHAFTED	SH AE F T IH D
SHAFTING	SH AE F T IH NG
SHAFTS	SH AE F T S
SHAG	SH AE G
SHAGGY	SH AE G IY
SHAH	SH AA
SHAH'S	SH AA Z
SHAKE	SH EY K
SHAKEDOWN	SH EY K D AW N
SHAKEDOWNS	SH EY K D AW N Z
SHAKEN	SH EY K AH N
SHAKEOUT	SH EY K AW T
SHAKER	SH EY K ER
SHAKERS	SH EY K ER Z
SHAKES	SH EY K S
SHAKEUP	SH EY K AH P
SHAKEUPS	SH EY K AH P S
SHAKIER	SH EY K IY ER
SHAKIEST	SH EY K IY IH S T
SHAKINESS	SH EY K IY N AH S
SHAKING	SH EY K IH NG
SHAKY	SH EY K IY
SHALE	SH EY L
SHALES	SH EY L Z
SHALL	SH AE L
SHALLOW	SH AE L OW
SHALLOWER	SH AE L OW ER
SHALLOWNESS	SH AE L OW N AH S
SHALOM	SH AH L OW M
SHALT	SH AE L T
SHAM	SH AE M
SHAMAN	SH EY M AH N
SHAMANS	SH EY M AH N Z
SHAMBLE	SH AE M B AH L
SHAMBLES	SH AE M B AH L Z
SHAME	SH EY M
SHAMED	SH EY M D
SHAMEFUL	SH EY M F AH L
SHAMELESS	SH EY M L AH S
SHAMELESSLY	SH EY M L AH S L IY
SHAMES	SH EY M Z
SHAMING	SH EY M IH NG
SHAMPOO	SH AE M P UW
SHAMPOOED	SH AE M P UW D
SHAMPOOS	SH AE M P UW Z
SHAMROCK	SH AE M R AA K
SHAMROCK'S	SH AE M R AA K S
SHANDY	SH AE N D IY
SHANGHAI	SH AE NG HH AY
SHANK	SH AE NG K
SHANKS	SH AE NG K S
SHANTIES	SH AE N T IY Z
SHANTY	SH AE N T IY
SHANTYTOWN	SH AE N T IY T AW N
SHANTYTOWNS	SH AE N T IY T AW N Z
SHAPE	SH EY P
SHAPED	SH EY P T
SHAPELESS	SH EY P L AH S
SHAPELY	SH EY P L IY
SHAPES	SH EY P S
SHAPING	SH EY P IH NG
SHARD	SH AA R D
SHARDS	SH AA R D Z
SHARE	SH EH R
SHARE'S	SH EH R Z
SHARECROP	SH EH R K R AA P
SHARECROPPER	SH EH R K R AA P ER
SHARECROPPERS	SH EH R K R AA P ER Z
SHARED	SH EH R D
SHAREHOLDER	SH EH R HH OW L D ER
SHAREHOLDER'S	SH EH R HH OW L D ER Z
SHAREHOLDERS	SH EH R HH OW L D ER Z
SHAREHOLDING	SH EH R HH OW L D IH NG
SHAREHOLDINGS	SH EH R HH OW L D IH NG Z
SHARER	SH EH R ER
SHARES	SH EH R Z
SHAREWARE	SH EH R W EH R
SHARIA	SH AA R IY AH
SHARING	SH EH R IH NG
SHARK	SH AA R K
SHARKING	SH AA R K IH NG
SHARKS	SH AA R K S
SHARP	SH AA R P
SHARP-SIGN	SH AA R P S AY N
SHARPEN	SH AA R P AH N
SHARPENED	SH AA R P AH N D
SHARPENING	SH AA R P AH N IH NG
SHARPENS	SH AA R P AH N Z
SHARPER	SH AA R P ER
SHARPEST	SH AA R P AH S T
SHARPIE	SH AA R P IY
SHARPIES	SH AA R P IY Z
SHARPLY	SH AA R P L IY
SHARPNESS	SH AA R P N AH S
SHARPS	SH AA R P S
SHARPSHOOTER	SH AA R P SH UW T ER
SHARPSHOOTERS	SH AA R P SH UW T ER Z
SHARPY'S	SH AA R P IY Z
SHATTER	SH AE T ER
SHATTERED	SH AE T ER D
SHATTERING	SH AE T ER IH NG
SHATTERPROOF	SH AE T ER P R UW F
SHATTERS	SH AE T ER Z
SHAVE	SH EY V
SHAVED	SH EY V D
SHAVER	SH EY V ER
SHAVERS	SH EY V ER Z
SHAVES	SH EY V Z
SHAVING	SH EY V IH NG
SHAVINGS	SH EY V IH NG Z
SHAW	SH AO
SHAW'S	SH AO Z
SHAWL	SH AO L
SHAWLS	SH AO L Z
SHAY	SH EY
SHAYS	SH EY Z
SHE	SH IY
SHE'D	SH IY D
SHE'LL	SH IY L
SHE'S	SH IY Z
SHEAF	SH IY F
SHEAR	SH IH R
SHEARED	SH IH R D
SHEARER	SH IH R ER
SHEARING	SH IH R IH NG
SHEARS	SH IY R Z
SHEATH	SH IY TH
SHEATHE	SH IY DH
SHEATHED	SH IY DH D
SHEATHING	SH IY DH IH NG
SHEAVES	SH IY V Z
SHED	SH EH D
SHEDDING	SH EH D IH NG
SHEDS	SH EH D Z
SHEEN	SH IY N
SHEEN'S	SH IY N Z
SHEENS	SH IY N Z
SHEEP	SH IY P
SHEEP'S	SH IY P S
SHEEPISH	SH IY P IH SH
SHEEPISHLY	SH IY P IH SH L IY
SHEEPSKIN	SH IY P S K IH N
SHEER	SH IH R
SHEERER	SH IY R ER
SHEET	SH IY T
SHEETING	SH IY T IH NG
SHEETS	SH IY T S
SHEIK	SH IY K
SHEIK'S	SH IY K S
SHEIKDOM	SH IY K D AH M
SHEIKDOMS	SH IY K D AH M Z
SHEIKS	SH IY K S
SHEKEL	SH EH K AH L
SHEKELS	SH EH K AH L Z
SHELF	SH EH L F
SHELL	SH EH L
SHELL'S	SH EH L Z
SHELLED	SH EH L D
SHELLER	SH EH L ER
SHELLFISH	SH EH L F IH SH
SHELLING	SH EH L IH NG
SHELLS	SH EH L Z
SHELTER	SH EH L T ER
SHELTERED	SH EH L T ER D
SHELTERING	SH EH L T ER IH NG
SHELTERS	SH EH L T ER Z
SHELVE	SH EH L V
SHELVED	SH EH L V D
SHELVES	SH EH L V Z
SHELVING	SH EH L V IH NG
SHENANIGAN	SH AH N AE N IH G AH N
SHENANIGANS	SH AH N AE N IH G AH N Z
SHEPHERD	SH EH P ER D
SHEPHERD'S	SH EH P ER D Z
SHEPHERDED	SH EH P ER D IH D
SHEPHERDING	SH EH P ER D IH NG
SHEPHERDS	SH EH P ER D Z
SHER	SH ER
SHERBET	SH ER B AH T
SHERIFF	SH EH R AH F
SHERIFF'S	SH EH R AH F S
SHERIFFS	SH EH R AH F S
SHERLOCK	SH ER L AA K
SHERLOCK'S	SH ER L AA K S
SHERRY	SH EH R IY
SHERRY'S	SH EH R IY Z
SHEW	SH UW
SHIBBOLETH	SH IH B AH L EH TH
SHIED	SH AY D
SHIELD	SH IY L D
SHIELD'S	SH IY L D Z
SHIELDED	SH IY L D IH D
SHIELDING	SH IY L D IH NG
SHIELDS	SH IY L D Z
SHIER	SH AY ER
SHIES	SH AY Z
SHIFT	SH IH F T
SHIFTED	SH IH F T AH D
SHIFTER	SH IH F T ER
SHIFTING	SH IH F T IH NG
SHIFTLESS	SH IH F T L IH S
SHIFTS	SH IH F T S
SHIFTY	SH IH F T IY
SHILL	SH IH L
SHILLING	SH IH L IH NG
SHILLINGS	SH IH L IH NG Z
SHIM	SH IH M
SHIMMER	SH IH M ER
SHIMMERED	SH IH M ER D
SHIMMERING	SH IH M ER IH NG
SHIMMERS	SH IH M ER Z
SHIMMY	SH IH M IY
SHIN	SH IH N
SHINBONE	SH IH N B OW N
SHINDIG	SH IH N D IH G
SHINE	SH AY N
SHINED	SH AY N D
SHINER	SH AY N ER
SHINES	SH AY N Z
SHINGLE	SH IH NG G AH L
SHINGLER	SH IH NG L ER
SHINGLES	SH IH NG G AH L Z
SHINING	SH AY N IH NG
SHINY	SH AY N IY
SHIP	SH IH P
SHIP'S	SH IH P S
SHIPBOARD	SH IH P B AO R D
SHIPBUILDER	SH IH P B IH L D ER
SHIPBUILDERS	SH IH P B IH L D ER Z
SHIPBUILDING	SH IH P B IH L D IH NG
SHIPBUILDINGS	SH IH P B IH L D IH NG Z
SHIPLOAD	SH IH P L OW D
SHIPLOADS	SH IH P L OW D Z
SHIPMAN	SH IH P M AH N
SHIPMATE	SH IH P M EY T
SHIPMATES	SH IH P M EY T S
SHIPMENT	SH IH P M AH N T
SHIPMENTS	SH IH P M AH N T S
SHIPOWNER	SH IH P OW N ER
SHIPOWNERS	SH IH P OW N ER Z
SHIPPED	SH IH P T
SHIPPER	SH IH P ER
SHIPPER'S	SH IH P ER Z
SHIPPERS	SH IH P ER Z
SHIPPING	SH IH P IH NG
SHIPS	SH IH P S
SHIPSHAPE	SH IH P SH EY P
SHIPWRECK	SH IH P R EH K
SHIPWRIGHT	SH IH P R AY T
SHIPWRIGHTS	SH IH P R AY T S
SHIPYARD	SH IH P Y AA R D
SHIPYARD'S	SH IH P Y AA R D Z
SHIPYARDS	SH IH P Y AA R D Z
SHIRE	SH AY R
SHIRES	SH AY R Z
SHIRK	SH ER K
SHIRKED	SH ER K T
SHIRKING	SH ER K IH NG
SHIRR	SH ER
SHIRT	SH ER T
SHIRTED	SH ER T AH D
SHIRTING	SH ER T IH NG
SHIRTS	SH ER T S
SHIRTSLEEVE	SH ER T S L IY V
SHIT	SH IH T
SHITTY	SH IH T IY
SHIVER	SH IH V ER
SHIVERED	SH IH V ER D
SHIVERING	SH IH V ER IH NG
SHIVERS	SH IH V ER Z
SHOALS	SH OW L Z
SHOCK	SH AA K
SHOCKED	SH AA K T
SHOCKER	SH AA K ER
SHOCKING	SH AA K IH NG
SHOCKINGLY	SH AA K IH NG L IY
SHOCKS	SH AA K S
SHOD	SH AA D
SHODDY	SH AA D IY
SHOE	SH UW
SHOE'S	SH UW Z
SHOEHORN	SH UW HH AO R N
SHOEHORNED	SH UW HH AO R N D
SHOELACE	SH UW L EY S
SHOELACES	SH UW L EY S AH Z
SHOEMAKE	SH UW M EY K
SHOEMAKER	SH UW M EY K ER
SHOEMAKERS	SH UW M EY K ER Z
SHOES	SH UW Z
SHOESHINE	SH UW SH AY N
SHOESTRING	SH UW S T R IH NG
SHOGUN	SH OW G AH N
SHONE	SH OW N
SHOO	SH UW
SHOOED	SH UW D
SHOOFLY	SH UW F L AY
SHOOK	SH UH K
SHOOT	SH UW T
SHOOTER	SH UW T ER
SHOOTERS	SH UW T ER Z
SHOOTING	SH UW T IH NG
SHOOTINGS	SH UW T IH NG Z
SHOOTOUT	SH UW T AW T
SHOOTOUTS	SH UW T AW T S
SHOOTS	SH UW T S
SHOP	SH AA P
SHOP'S	SH AA P S
SHOPKEEPER	SH AA P K IY P ER
SHOPKEEPERS	SH AA P K IY P ER Z
SHOPLIFT	SH AA P L IH F T
SHOPLIFTER	SH AA P L IH F T ER
SHOPLIFTERS	SH AA P L IH F T ER Z
SHOPLIFTING	SH AA P L IH F T IH NG
SHOPPE	SH AA P
SHOPPED	SH AA P T
SHOPPER	SH AA P ER
SHOPPER'S	SH AA P ER Z
SHOPPERS	SH AA P ER Z
SHOPPES	SH AA P S
SHOPPING	SH AA P IH NG
SHOPPING'S	SH AA P IH NG Z
SHOPS	SH AA P S
SHOPWORN	SH AA P W AO R N
SHORE	SH AO R
SHORE'S	SH AO R Z
SHOREBIRD	SH AO R B ER D
SHORED	SH AO R D
SHORELINE	SH AO R L AY N
SHORES	SH AO R Z
SHORING	SH AO R IH NG
SHORT	SH AO R T
SHORT-WINDED	SH AO R T W IH N D IH D
SHORTAGE	SH AO R T AH JH
SHORTAGES	SH AO R T AH JH AH Z
SHORTCAKE	SH AO R T K EY K
SHORTCHANGE	SH AO R T CH EY N JH
SHORTCHANGED	SH AO R T CH EY N JH D
SHORTCHANGING	SH AO R T CH EY N JH IH NG
